screening_id,keeper_key,ai_initial_priority,ai_suggested_role,ai_priority_reason,title,year,publication,category,doi,has_pdf,pdf_path,collections,title_screen_decision_include_maybe_exclude,title_screen_reason_manual,abstract_screen_decision_include_maybe_exclude,abstract_population_manual,abstract_modality_manual,abstract_ai_method_manual,abstract_outcome_manual,full_text_screen_decision_include_maybe_exclude,full_text_sample_manual,full_text_dataset_source_manual,full_text_study_design_manual,full_text_model_metrics_manual,full_text_limitations_manual,quality_signal_strong_moderate_weak_manual,final_use_role_core_background_gap_future_exclude_manual,reviewer_notes_manual
P001,XSIL8EJU,High,core_speech_language_evidence+thai_context,speech/audio/language modality matches project core; Thai/local clinical context; clinical screening/assessment relevance,Two-Step Screening of the Modified Checklist for Autism in Toddlers in Thai Children with Language Delay and Typically Developing Children,2016,Journal of Autism and Developmental Disorders,Clinical Tools / Screening; Thai / Local Context; General AI / ML Prediction,10.1007/s10803-016-2876-4,yes,/Users/porschecaa/Zotero/storage/E7FUSQ38/Two-Step Screening of the Modified Checklist for Autism in Toddlers in Thai Children with Language Delay and Typically Developing Children.pdf,09_Thai_Local_Context,include,Keeps Thai clinical screening context and shows why local validation matters.,include,Thai M-CHAT two-step screening in language-delay and TD toddlers,"Thai two-step M-CHAT evidence; abstract reports high-risk language-delay children (N=109) and low-risk TD children (N=732), not N=292.",,Tertiary-care/high-risk setting and follow-up design; not an AI/speech model.,include,"Thai two-step M-CHAT evidence; abstract reports high-risk language-delay children (N=109) and low-risk TD children (N=732), not N=292.",,Thai M-CHAT two-step screening in language-delay and TD toddlers,"Thai two-step M-CHAT evidence; abstract reports high-risk language-delay children (N=109) and low-risk TD children (N=732), not N=292.",Tertiary-care/high-risk setting and follow-up design; not an AI/speech model.,Strong,background_local,Keeps Thai clinical screening context and shows why local validation matters.
P002,M4EJZXAJ,High,core_speech_language_evidence,speech/audio/language modality matches project core,Machine Learning Based Automated Speech Dialog Analysis Of Autistic Children,2019,Proceedings of 2019 11th International Conference on Knowledge and Systems Engineering,Speech / Audio; General AI / ML Prediction,10.1109/KSE.2019.8919266,yes,/Users/porschecaa/Downloads/Machine Learning Based Automated Speech Dialog Analysis Of Autistic Children.pdf,01_Speech_Audio; 00_All_ASD_AI_Literature,maybe,"Older speech-dialog analysis; keep in reserve, but newer transcript/audio papers better support current argument.",maybe,,,,,maybe,,,,,,Not_appraised,reserve_candidate,"Older speech-dialog analysis; keep in reserve, but newer transcript/audio papers better support current argument."
P003,KYR76JPY,High,review_background_or_gap,review/synthesis paper useful for background and gap framing; clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,The Use of Artificial Intelligence in Screening and Diagnosis of Autism Spectrum Disorder: A Literature Review,2019,Journal of the Korean Academy of Child and Adolescent Psychiatry,Review / Survey; Video / Behavior / Movement; Clinical Tools / Screening; General AI / ML Prediction,10.5765/jkacap.190027,yes,/Users/porschecaa/Zotero/storage/CJGHDQEK/The Use of Artificial Intelligence in Screening and Diagnosis of Autism Spectrum Disorder - A Literature Review.pdf,00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy; 07_Review_Papers,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P004,CUXGPA4J,High,core_speech_language_evidence,speech/audio/language modality matches project core,Acoustic Features Characterization of Autism Speech for Automated Detection and Classification,2020,National Conference on Communications,Speech / Audio; General AI / ML Prediction,10.1109/NCC48643.2020.9056025,yes,/Users/porschecaa/Downloads/Acoustic Features Characterization of Autism Speech for Automated Detection and Classification.pdf,01_Speech_Audio; 00_All_ASD_AI_Literature,include,Useful as early acoustic-feature evidence but must be caveated.,include,Acoustic feature characterization for ASD detection,"Uses acoustic features and classical classifiers; PDF reports KNN achieving 96.5% accuracy, not Random Forest 88.5%.",,Small controlled dataset; high accuracy likely not externally validated.,include,"Uses acoustic features and classical classifiers; PDF reports KNN achieving 96.5% accuracy, not Random Forest 88.5%.",,Acoustic feature characterization for ASD detection,"Uses acoustic features and classical classifiers; PDF reports KNN achieving 96.5% accuracy, not Random Forest 88.5%.",Small controlled dataset; high accuracy likely not externally validated.,Moderate,core,Useful as early acoustic-feature evidence but must be caveated.
P005,SKKCGCNC,High,core_speech_language_evidence,speech/audio/language modality matches project core; video/behavior modality; useful mainly for multimodal/future-work context,Automatic Identification of High-Risk Autism Spectrum Disorder: A Feasibility Study Using Video and Audio Data Under the Still-Face Paradigm,2020,IEEE Transactions on Neural Systems and Rehabilitation Engineering,Speech / Audio; Video / Behavior / Movement,10.1109/TNSRE.2020.3027756,yes,/Users/porschecaa/Zotero/storage/NKQZHLIV/Automatic Identification of High-Risk Autism Spectrum Disorder - A Feasibility Study Using Video and Audio Data Under the Still-Face Paradigm.pdf,01_Speech_Audio; 00_All_ASD_AI_Literature,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P006,GYQF3Q88,High,core_speech_language_evidence,speech/audio/language modality matches project core; video/behavior modality; useful mainly for multimodal/future-work context,Wearable-Sensors-Based Platform for Gesture Recognition of Autism Spectrum Disorder Children Using Machine Learning Algorithms,2021,Sensors,Speech / Audio; Video / Behavior / Movement; General AI / ML Prediction,10.3390/s21103319,yes,/Users/porschecaa/Downloads/Wearable-Sensors-Based Platform for Gesture Recognition of Autism Spectrum Disorder Children Using Machine Learning Algorithms.pdf,01_Speech_Audio; 00_All_ASD_AI_Literature; 06_Clinical_Ethics_Privacy,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P007,8QA33QFN,High,core_speech_language_evidence,speech/audio/language modality matches project core; clinical screening/assessment relevance; video/behavior modality; useful mainly for multimodal/future-work context,Classifying Autism From Crowdsourced Semistructured Speech Recordings: Machine Learning Model Comparison Study,2022,JMIR Pediatrics and Parenting,Speech / Audio; Video / Behavior / Movement; Clinical Tools / Screening; General AI / ML Prediction,10.2196/35406,yes,/Users/porschecaa/Zotero/storage/CCXMUG62/Classifying Autism From Crowdsourced Semistructured Speech Recordings - Machine Learning Model Comparison Study.pdf,01_Speech_Audio; 06_Clinical_Ethics_Privacy; 00_All_ASD_AI_Literature,include,Relevant to real-world audio robustness.,include,Crowdsourced semi-structured speech recordings,Compares ML models on mobile/crowdsourced speech; CNN around 79% was reported as best among compared models in the previous audit.,,"Noisy, short, app-recorded audio and limited control over recording conditions.",include,Compares ML models on mobile/crowdsourced speech; CNN around 79% was reported as best among compared models in the previous audit.,,Crowdsourced semi-structured speech recordings,Compares ML models on mobile/crowdsourced speech; CNN around 79% was reported as best among compared models in the previous audit.,"Noisy, short, app-recorded audio and limited control over recording conditions.",Moderate,core,Relevant to real-world audio robustness.
P008,G6FRB5QL,High,thai_local_context_evidence,Thai/local clinical context; less central modality for current speech/language project,Detection of Electroencephalographic Abnormalities and Its Associated Factors among Children with Autism Spectrum Disorder in Thailand,2022,Healthcare,Neuroimaging / EEG / Biomarkers; Thai / Local Context,10.3390/healthcare10101969,yes,/Users/porschecaa/Zotero/storage/4CSY3W45/Detection of Electroencephalographic Abnormalities and Its Associated Factors among Children with Autism Spectrum Disorder in Thailand.pdf,09_Thai_Local_Context,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
P009,7IKT7JCG,High,thai_local_context_evidence,Thai/local clinical context; clinical screening/assessment relevance,Development and psychometric evaluation of a Thai Diagnostic Autism Scale for the early diagnosis of Autism Spectrum Disorder,2022,Autism Research,Clinical Tools / Screening; Thai / Local Context; General AI / ML Prediction,10.1002/aur.2631,yes,/Users/porschecaa/Zotero/storage/8SRP9R6U/Development and psychometric evaluation of a Thai Diagnostic Autism Scale for the early diagnosis of Autism Spectrum Disorder.pdf,09_Thai_Local_Context,include,Best Thai ASD diagnostic-scale anchor for the project.,include,Thai Diagnostic Autism Scale psychometric validation,Thai cohort N=130. PDF reports sensitivity 100% and specificity 82.4% for TDAS against physician diagnosis.,,Clinical scale administered by trained professionals; not automated speech/NLP.,include,Thai cohort N=130. PDF reports sensitivity 100% and specificity 82.4% for TDAS against physician diagnosis.,,Thai Diagnostic Autism Scale psychometric validation,Thai cohort N=130. PDF reports sensitivity 100% and specificity 82.4% for TDAS against physician diagnosis.,Clinical scale administered by trained professionals; not automated speech/NLP.,Strong,background_local,Best Thai ASD diagnostic-scale anchor for the project.
P010,3RT7PK9I,High,core_speech_language_evidence+thai_context,speech/audio/language modality matches project core; Thai/local clinical context; video/behavior modality; useful mainly for multimodal/future-work context,The effects of positive emotional gesture guidance on speech sound discrimination in Thai children with ASD: A mismatch negativity study,2022,Songklanakarin Journal of Science and Technology,Speech / Audio; Video / Behavior / Movement; Thai / Local Context; General AI / ML Prediction,,yes,/Users/porschecaa/Zotero/storage/NPX2JTUE/The effects of positive emotional gesture guidance on speech sound discrimination in Thai children with ASD - A mismatch negativity study.pdf,09_Thai_Local_Context,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow.",exclude,,,,,exclude,,,,,,Not_appraised,exclude,"Relevant to broader multimodal ASD AI, but not central to current speech/language ASD workflow."
